Rank,Club,Stat,"



"
1., Leeds United,91, 
2., Newcastle United,70, 
3., Aston Villa,68, 
4., Brighton and Hove Albion,65, 
5., Manchester United,62, 
6., Everton,61, 
7., Tottenham Hotspur,57, 
8., Burnley,54, 
9., Southampton,54, 
10., Brentford,53, 
11., Wolverhampton Wanderers,53, 
12., Watford,52, 
13., Crystal Palace,51, 
14., Chelsea,48, 
15., Norwich City,47, 
16., Arsenal,45, 
17., Leicester City,40, 
18., Liverpool,40, 
19., West Ham United,38, 
20., Manchester City,36, 
